eng	fra
Both are alive.	Ils sont tous deux vivants.
Hurry up, girls.	Grouillez-vous, les filles !
I hurried home.	Je me suis précipité à la maison.
It can't wait.	Ça ne peut pas attendre.
Can you help me?	Pouvez-vous m'aider ?
I'm inside.	Je me trouve à l'intérieur.
Aren't you cold?	N'avez-vous pas froid ?
Yes, we can go.	Oui, nous pouvons y aller.
I'm dead tired.	Je suis mort de fatigue.
I'm a liar.	Je suis un menteur.
Don't sass me.	Ne sois pas impertinent à mon égard.
He doesn't tan.	Il ne bronze pas.
You did that.	Vous avez fait ça.
Are we alone?	Sommes-nous seules ?
You're amazing.	Vous êtes incroyables.
Drive safely.	Conduis prudemment !
I got lucky.	J'ai eu de la chance.
Is that unusual?	Est-ce inhabituel ?
Start here.	Commence ici.
Have a donut.	Prends un beignet.
Go to school.	Allez à l'école !
Are you hurt?	Êtes-vous blessée ?
It's exciting.	C’est grisant.
I lost my watch.	J’ai perdu ma montre.
They want more.	Elles veulent davantage.
I forgive you.	Je te pardonne.
He squinted.	Il a louché.
Watch out!	Faites attention !
Dance with me.	Dansez avec moi.
You're stuck.	Vous êtes plantées.
I hate lawyers.	Je déteste les avocats.
It's unlikely.	C'est improbable.
Get your gear.	Allez chercher votre tenue !
They're old.	Ils sont vieux.
What causes it?	Quelles en sont les causes ?
I'll obey.	J'obéirai.
I got rid of it.	Je m'en suis débarrassée.
I work with him.	Je travaille avec lui.
I'm hiding.	Je me cache.
Ignore Tom.	Ignorez Tom.
Do you eat fish?	Manges-tu du poisson ?
Think positive.	Pensez positivement.
I've got a list.	Je dispose d’une liste.
He's a senior.	C'est un aîné.
That's stupid.	C'est bête.
He's a jesuit.	Il est jésuite.
I found it.	Je l'ai trouvé.
I always walk.	Je marche toujours.
I got busy.	Je suis devenu occupée.
Show it to her.	Montre-la-lui !
We can talk.	Nous pouvons discuter.
They obeyed.	Ils ont obéi.
Do you get it?	Vous captez ?
I'll wait here.	J'attendrai ici.
Are you sure?	Êtes-vous sûr ?
I fed the dog.	J'ai nourri le chien.
I've got eyes.	Je suis doté d'yeux.
Who's that?	Qui est-ce ?
He was very old.	Il était fort vieux.
They crashed.	Ils se sont écrasés.
Be merciful.	Soyez clément !
Tom trusts him.	Tom lui fait confiance.
I hate you.	Je te déteste.
Tom needs work.	Tom a besoin de travail.
Life is short.	La vie est brève.
I'm available.	Je suis disponible.
He scolded her.	Il la gronda.
I slept a lot.	J'ai beaucoup dormi.
It's garbage.	C'est de la daube.
I'm first.	Je suis en premier.
I wasn't home.	Je ne me trouvais pas à mon domicile.
Prices went up.	Les prix montèrent.
Taste it.	Goûte-le.
It's very humid.	C'est très humide.
See you later.	On se voit plus tard.
Just say yes.	Dis juste oui !
I'm not happy.	Je ne suis pas content.
You're big.	Tu es grand.
I smell gas.	Je sens le gaz.
We want to go.	Nous voulons y aller.
It's your money.	Il s'agit de votre argent.
Where's Boston?	Où est Boston ?
I saw something.	J'ai vu quelque chose.
I'm watching TV.	Je suis en train de regarder la télévision.
I live in Kobe.	Je vis à Kobe.
How is it going?	Ça va ?
I'm not obese.	Je ne suis pas obèse.
Pick a card.	Piochez une carte !
I hate dogs.	Je déteste les chiens.
Grab my hand.	Saisissez-moi la main !
Hurry up, girls.	On se dépêche, les filles !
We met before.	Nous nous sommes rencontrés auparavant.
I'm really busy.	Je suis vraiment occupé.
He walked away.	Il s'en alla.
Don't be upset.	Ne soyez pas contrariée !
I want to go.	Je veux partir.
Call home!	Appelle à la maison !
Tom trusts me.	Tom a confiance en moi.
You're so mean.	Vous êtes si méchante.
I was kidding.	Je blaguais.
Run for it!	Taille-toi !
I said maybe.	J'ai dit peut-être.
I want answers.	Je veux des réponses.
It's ours.	C'est la nôtre.
I'm still busy.	Je suis toujours occupé.
Pick it up.	Ramasse-le.
Someone coughed.	Quelqu'un a toussé.
I like that job.	J'apprécie ce boulot.
Excuse me.	Excusez-moi.
I'll take those.	Je prendrai celles-là.
I just got up.	Je viens de me lever.
I got carded.	On m'a demandé ma carte d'identité pour vérifier mon âge.
It's outdated.	C'est obsolète.
Let me go!	Laissez-moi m'en aller !
I did have fun.	Je me suis amusée.
I'm plastered.	Je suis bourré.
We're obedient.	Nous sommes obéissantes.
How's your wife?	Comment se porte ta femme ?
Be fair.	Soyez justes !
Get a haircut.	Va te faire couper les cheveux !
I started that.	C'est moi qui ai commencé.
I'm game.	J'en suis.
Nobody wants it.	Personne ne la veut.
Got it?	T'as capté ?
Drive safely.	Conduisez prudemment.
It was awesome.	C'était génial.
This is new.	C'est neuf.
Tom laughed.	Tom rit.
Cover it up.	Camouflez-le.
Seriously?	Sérieusement ?
You're creepy.	Vous êtes sinistre.
It's a dead end.	C'est un cul-de-sac.
I saw you.	Je vous ai vues.
We're broke.	On est fauchés.
I feel old.	Je me sens vieille.
Am I first?	Suis-je le premier ?
Throw the ball.	Lance la balle.
Did Tom eat?	Est-ce que Tom a mangé ?
It's no problem.	Cela ne fait pas de difficulté.
I don't care.	Je m'en fous.
That's a joke.	C'est une blague.
I was in charge.	C'était moi la responsable.
I follow orders.	J'obéis aux ordres.
What is a UFO?	Qu'est-ce que c'est qu'un OVNI ?
We won.	Nous gagnâmes.
I never lose.	Je ne perds jamais.
Open the door.	Ouvre la porte !
Many fish died.	De nombreux poissons sont morts.
I lost the bet.	J'ai perdu le pari.
I got scammed.	J'ai été arnaqué.
May I leave now?	Je peux partir, maintenant ?
She pinched him.	Elle le pinça.
It's yours.	C'est le vôtre.
I can swim.	Je sais nager.
Lock your door.	Verrouille ta porte !
We're retiring.	Nous partons à la retraite.
I want this dog.	Je veux ce chien.
Don't kid me!	Ne me fais pas marcher !
I was horrified.	J'étais horrifiée.
Of course.	Bien sûr.
Let me check.	Laissez-moi vérifier.
Give it to me.	Donnez-le-moi.
Who drew it?	Qui l'a dessiné ?
Tom's married.	Tom est marié.
Tom's alone.	Tom est tout seul.
I have a dream.	J'ai un rêve.
You're safe.	Tu es en sécurité.
She likes wine.	Elle aime le vin.
They're crazy.	Elles sont folles.
It's your life.	C'est ta vie.
Can you see it?	Peux-tu le voir ?
Need I go on?	Ai-je besoin de continuer ?
He liked that.	Il a aimé ça.
I exercise.	Je m’entraîne.
Thanks a lot.	Merci bien.
Is it dirty?	Est-ce sale ?
We're serious.	Nous sommes sérieux.
Dogs can swim.	Les chiens peuvent nager.
I'm cured.	Je suis guérie.
I'm lonely.	Je me sens seul.
It's as you say.	C'est comme vous le dites.
I was tempted.	J'ai été tenté.
I was fired.	On m'a saqué.
Tom trusts you.	Tom te fait confiance.
Cash is better.	De l'argent liquide, c'est mieux.
Buy him a beer.	Paye-lui une bière !
Did you do this?	Avez-vous fait ceci ?
I am undressing.	Je me déshabille.
Do as you like.	Fais comme il te plaira !
How's your wife?	Comment va ta femme ?
Please help Tom.	Veuillez aider Tom.
I can stay.	Je peux rester.
I did my best.	Je fis de mon mieux.
Marry me.	Épousez-moi !
Did I hurt you?	T'ai-je fait mal ?
They want this.	Elles veulent ceci.
I didn't go.	Je n'y suis pas allée.
I'm nervous.	Je suis nerveux.
Tell me frankly.	Dites-le-moi franchement.
Close the door.	Ferme la porte !
You're early.	Vous êtes en avance.
She is lucky.	Elle est chanceuse.
Grab this.	Attrapez ça !
He loves us.	Il nous aime.
Find a job.	Trouve un boulot !
He tries hard.	Il s'efforce.
I am very sorry.	Je suis vraiment désolé.
I won't be late.	Je ne serai pas en retard.
Are you hurt?	Vous êtes-vous blessé ?
I need help now.	C'est maintenant que j'ai besoin d'aide.
Please sit here.	Veuillez vous asseoir ici.
Please sing.	Chantez, je vous prie !
I don't dream.	Je ne rêve pas.
I am in trouble.	Je suis mal barrée.
She's hot.	Elle est très attirante.
You're rude.	Vous êtes grossière.
Go ahead.	Poursuis !
We're dancing.	Nous sommes en train de danser.
Don't do this.	Ne faites pas ça !
I like grapes.	J'aime le raisin.
I am a cook.	Je suis cuisinier.
What for?	Pour quoi faire ?
We're stalled.	Nous sommes à l'arrêt.
He's so young.	Il est si jeune.
No one saw me.	Personne ne me vit.
I'll work.	Je travaillerai.
Let's do this.	Faisons ça.
I like them.	Je les apprécie.
I rewrote it.	Je l'ai réécrit.
It's all yours.	Il est tout à toi.
It's all wrong.	C'est complètement faux.
Clean your room.	Nettoyez votre chambre.
Call me back.	Rappelle-moi.
I'm tidy.	Je suis ordonné.
Give him a hug.	Faites-lui un câlin !
Did I miss much?	Ai-je beaucoup manqué ?
Don't push me.	Ne me poussez pas !
This is ugly.	C'est hideux.
Is that weird?	Est-ce bizarre ?
I went, too.	J'y suis également allé.
They're free.	Elles sont libres.
Don't jump!	Ne sautez pas !
Come alone.	Venez seule !
I like to drink.	J'aime boire.
Help me.	Aide-moi.
It's important.	C'est important.
I need space.	J'ai besoin d'espace.
Tom's drowning.	Tom est en train de se noyer.
I'm not skinny.	Je ne suis pas maigrichon.
I hate my boss.	Je déteste mon patron.
My father is in.	Mon père est à la maison.
They are bored.	Elles s'ennuient.
He's wide awake.	Il est tout à fait éveillé.
I turned it off.	Je l'ai éteinte.
It's a miracle.	C'est un miracle.
Stay positive.	Reste positif !
We could wait.	Nous pourrions attendre.
We need to win.	Il nous faut gagner.
I buried it.	Je l'ai enterré.
I'm a Canadian.	Je suis canadien.
Be prepared.	Sois prête !
Quit gambling.	Arrêtez de jouer.
Go slow.	Allez doucement !
I'll help you.	Je t'aiderai.
Let me out!	Laisse-moi sortir !
Just relax.	Détendez-vous.
Do you trust me?	Te fies-tu à moi ?
Give it to me.	Donne-le-moi.
We're enemies.	Nous sommes ennemis.
These are mine.	Ce sont les miens.
Go on.	Poursuis.
Tie your shoe.	Nouez votre lacet.
I love you both.	Je vous adore tous les deux.
He was naive.	Il était naïf.
Now I feel bad.	Désormais, je me sens mal.
It feels weird.	C'est bizarre.
I'm dedicated.	Je suis dévoué.
Crows are black.	Les corbeaux sont noirs.
Don't stand up.	Ne vous levez pas.
I always win.	Je gagne toujours.
Tie your shoes.	Attache tes chaussures.
We're the last.	Nous sommes les dernières.
Who told you?	Qui vous l'a dit ?
I won't risk it.	Je ne vais pas le risquer.
Seal the doors.	Scellez la porte !
Keep singing.	Continuez de chanter.
Has he come yet?	Est-il venu ?
It's a sign.	C'est un signe.
You are rich.	Vous êtes riches.
Time is up.	Le temps est écoulé.
We did fine.	Nous nous en sommes bien tirées.
I followed you.	Je vous ai suivis.
That's odd.	C'est bizarre.
My cat is happy.	Mon chat est heureux.
Make it smaller.	Faites-le plus petit.
I must go alone.	Il me faut y aller seule.
We need heroes.	Il nous faut des héros.
Did you hear it?	L'avez-vous entendu ?
No one knew it.	Personne ne l'a su.
I feel nothing.	Je ne sens rien.
I'm falling.	Je tombe.
I'm not weird.	Je ne suis pas bizarre.
I'm starving.	J'ai la fringale.
Wait for Tom.	Attends Tom.
Are you happy?	Es-tu contente ?
He has no money.	Il n'a pas d'argent.
How about you?	Et vous ?
She stabbed him.	Elle le poignarda.
I made two.	J'en ai confectionné deux.
I'm kidding.	Je rigole !
Tom's wounded.	Tom est blessé.
I saw the movie.	Je vis le film.
We're trapped.	Nous sommes piégés.
My shift's over.	Mon service est terminé.
Don't come here.	Ne venez pas ici !
I felt cheated.	Je me sentis trahi.
I'm leaving.	Je pars.
I fell for it.	Je me suis fait prendre.
Take a break.	Fais une pause !
He fooled her.	Il la dupa.
I hate secrets.	Je déteste les secrets.
He broke them.	Il les a cassées.
I love you.	Je t'adore.
I like cartoons.	J'aime les dessins animés.
I obeyed.	J’ai obéi.
I saw Tom naked.	J'ai vu Tom nu.
It's a fact.	C'est un fait.
I got it free.	Je l'ai eu gratuitement.
I'm untalented.	Je suis dépourvue de talent.
Don't be shy.	Ne sois pas timide.
I did warn you.	Je t'avais prévenue.
We'll start.	Nous commencerons.
You're winning.	Vous l'emportez.
I want this cat.	Je veux ce chat.
Should I go?	Devrais-je partir ?
Tom hates me.	Tom me déteste.
My father is in.	Papa est à la maison.
That's funny.	C'est amusant.
I'll try that.	Je tenterai ça.
I know that.	Je le sais.
I must run.	Il me faut courir.
I got nauseous.	Je me suis mise à avoir la nausée.
I caught Tom.	J'ai attrapé Tom.
Do I look old?	Ai-je l'air vieux ?
I'm begging you.	Je vous en supplie.
I knew too much.	J'en savais trop.
He's a frat boy.	Il est membre d'une fraternité étudiante.
You're silly.	Vous êtes idiote.
I'm Canadian.	Je suis Canadienne.
Leave me alone.	Laissez-moi tranquille !
I hate this car.	Je déteste cette bagnole.
Thanks a heap.	Des tonnes de mercis !
You must go.	Tu dois t'en aller.
Go now.	Vas-y maintenant.
Be content.	Soyez satisfait !
I'm your friend.	Je suis votre amie.
Don't stop him.	Ne l'arrêtez pas.
Ask anybody.	Demande à qui que ce soit !
I let you down.	Je vous ai laissées tomber.
I saw her again.	Je la vis de nouveau.
It's hideous.	C'est hideux.
I woke you up.	Je vous ai réveillé.
Everyone did it.	Tout le monde le fit.
I have to study.	Je dois étudier.
I didn't win.	Je n'ai pas gagné.
We're confused.	Nous sommes perplexes.
I have to win.	Il faut que je gagne.
He's drunk.	Il est soûl.
Don't be upset.	Ne soyez pas fâché !
Hand it to me.	Passe-le-moi.
Choose one.	Choisis-en une.
I'm tough.	Je suis dure.
Goodbye!	Adieu !
You're funny.	Vous êtes marrantes.
You're smashed.	T'es bourré.
Tom hates dogs.	Tom déteste les chiens.
Dig faster.	Creuse plus vite.
Be prepared.	Tenez-vous prêtes !
Now drink up.	Maintenant, bois d'un coup !
I am fine.	Je vais bien.
It's very early.	C'est très tôt.
You're the pro.	C'est toi le professionnel.
I will try.	Je vais essayer.
I'm careful.	Je suis prudente.
He's Swiss.	Il est Suisse.
I want soup.	Je veux de la soupe.
Is Tom there?	Est-ce que Tom est ici ?
It's no joke.	Ce n'est pas une blague.
Don't be sorry.	Ne soyez pas désolées !
Bring it here.	Apportez-le ici.
Well done!	Bien joué !
I felt left out.	Je me sentis exclu.
Open the bottle.	Ouvre la bouteille.
You look upset.	Tu as l'air fâché.
I'm the captain.	Je suis le capitaine.
I like jazz.	J'apprécie le jazz.
I am joking.	Je plaisante.
Try to resist.	Essaye de résister.
Tom was upset.	Tom était contrarié.
I sighed.	J’ai soupiré.
Release him.	Relâchez-le !
Is it too small?	Est-ce trop petit ?
Call a plumber.	Appelle un plombier !
Take it easy!	Relaxe !
I am a man.	Je suis un homme.
They found us.	Ils nous ont trouvées.
You're fair.	Vous êtes juste.
Where was I?	Où en étais-je ?
I love animals.	J'adore les animaux.
What fun!	Qu'est-ce qu'on s'est marrés !
Stay here.	Reste ici !
I'm miserable.	Je suis malheureuse.
Hug me.	Serre-moi dans tes bras !
I came back.	Je suis revenu.
Tom drank milk.	Tom a bu du lait.
I hate them all.	Je les déteste toutes.
Hang on.	Tenez bon !
I give up.	J'abandonne.
Have a cookie.	Prends un biscuit !
Back off.	Recule !
Don't kill me.	Ne me tuez pas !
I'm ill.	Je suis malade.
I didn't laugh.	Je n'ai pas ri.
Maybe it's true.	C'est peut-être vrai.
He is out now.	Il est actuellement sorti.
Tell Tom.	Informez-en Tom.
You look tired.	Tu sembles fatigué.
Leave us.	Laissez-nous !
He's too drunk.	Il est trop saoul.
I was there.	Je m'y trouvais.
I got confused.	J'ai mélangé.
I wasn't hired.	On ne m'a pas engagée.
Tom's home.	Tom est à la maison.
We understand.	Nous comprenons.
Give it to me.	Donne-la-moi.
I saw someone.	Je vis quelqu'un.
Tom runs fast.	Tom court vite.
I kid you not.	Je ne te raconte pas de craques.
You look tired.	Tu as l'air fatigué.
Read this first.	Lisez ceci en premier.
Don't rub it in.	Ne le serine pas !
I'm stubborn.	Je suis têtu.
I should do it.	Je devrais le faire.
I'll ask later.	Je demanderai plus tard.
Tom is dying.	Tom meurt.
I paid in cash.	J'ai payé en espèce.
Are you mad?	Êtes-vous folle ?
Are you nervous?	Êtes-vous nerveuses ?
We saw you.	Nous vous avons vus.
She tempted him.	Elle l'a incité.
We need tools.	Nous avons besoin d'outils.
I'll be on time.	Je serai à l'heure.
I'll get you.	J'irai te chercher.
Are you tired?	Êtes-vous las ?
You're famous.	Vous êtes connue.
I needed money.	Il m'a fallu de l'argent.
I got remarried.	Je me suis remarié.
I'm home, Tom.	Je suis chez moi, Tom.
Call security!	Appelez la sécurité !
Are you up?	Êtes-vous levés ?
Are you sad?	Es-tu triste ?
I had a vision.	J'ai eu une vision.
I wish I could.	Si seulement je pouvais.
Is it good news?	Est-ce une bonne nouvelle ?
Tom warned you.	Tom t'a prévenu.
Stay calm.	Reste calme.
That's right!	C'est juste !
Tom blinked.	Tom a cligné des yeux.
What a bargain!	Quelle bonne affaire !
I exhaled.	J’ai expiré.
Come on, get up.	Allez, lève-toi.
I'm so hungry.	J'ai tellement faim.
I'll shoot.	Je tirerai.
Am I correct?	Ai-je raison ?
I'm free today.	Je suis libre aujourd'hui.
Don't be sorry.	Ne sois pas désolée !
Can you juggle?	Savez-vous jongler ?
You're winning.	Vous gagnez.
I had to stop.	Il me fallait cesser.
You're early.	Tu es en avance.
I owe him $100.	Je lui dois $100.
It's all yours.	C'est tout à toi.
I want that.	Moi je veux ça.
Is it yours?	Est-ce la tienne ?
His son is sick.	Son fils est malade.
What a phony!	Quel charlatan !
Be discreet.	Soyez discrètes !
He's wet.	Il est mouillé.
They love Tom.	Ils aiment Tom.
You're lying!	Tu mens !
Is it legal?	Est-ce légal ?
It was black.	C'était noir.
I hear sirens.	J'entends des sirènes.
No one moved.	Personne ne bougea.
Nobody was home.	Personne n'était chez moi.
I'll kill him.	Je le tuerai.
The price rose.	Le prix a augmenté.
Now leave us.	Vous pouvez disposer.
It's all I want.	C'est tout ce que je veux.
I must continue.	Je dois continuer.
